step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
8,CASH_OUT,29708,C515973302,29708,0,C170071280,10935,0,1,0
8,CASH_OUT,43092,C1395071924,43092,0,C79685693,660642,1158663,1,0
8,CASH_OUT,89631,C1938531779,89631,0,C2048578791,21175,0,1,0
8,CASH_OUT,181728,C2102265902,0,0,C789014007,11397,184478,1,0
8,TRANSFER,222,C1961506277,222,0,C378841819,0,267095,1,0
8,TRANSFER,1996,C1198040187,1996,0,C1828047633,0,0,1,0
8,TRANSFER,29708,C1825456600,29708,0,C570409417,0,0,1,0
8,TRANSFER,43092,C1683174795,43092,0,C427998326,0,0,1,0
8,TRANSFER,89631,C74534388,89631,0,C1748042844,0,0,1,0
8,TRANSFER,1078014,C1026280121,0,0,C277510102,0,970750,1,0
9,CASH_OUT,1055,C1764109750,1055,0,C1522743169,75179,0,1,0
9,CASH_OUT,11308,C921533797,11308,0,C424669538,0,302551,1,0
9,CASH_OUT,21922,C1499032143,21922,0,C1508330669,1929862,2046919,1,0
9,CASH_OUT,244068,C507466068,244068,0,C706331499,0,338538,1,0
9,CASH_OUT,350706,C58527359,350706,0,C582901057,894761,1794034,1,0
9,CASH_OUT,361560,C684758020,361560,0,C1769042905,504667,189441,1,0
9,CASH_OUT,556218,C589143360,556218,0,C1992550266,0,582266,1,0
9,CASH_OUT,1154354,C1034219836,1154354,0,C1195589213,162222,1965588,1,0
9,CASH_OUT,2539898,C728718059,2539898,0,C1013511446,968,1842864,1,0
9,TRANSFER,1055,C666486325,1055,0,C279565067,0,0,1,0
9,TRANSFER,11308,C299933576,11308,0,C1060999444,0,0,1,0
9,TRANSFER,21922,C102617052,21922,0,C760675871,0,0,1,0
9,TRANSFER,244068,C1087133093,244068,0,C1855553543,0,0,1,0
9,TRANSFER,350706,C1452168793,350706,0,C399194578,0,1184633,1,0
9,TRANSFER,361560,C1287719145,361560,0,C352239275,0,141302,1,0
9,TRANSFER,556218,C1769581889,556218,0,C217441120,0,0,1,0
9,TRANSFER,994453,C1121789613,1437371,0,C254839817,194813,665744,1,0
9,TRANSFER,1154354,C670587931,1154354,0,C150406565,0,10873,1,0
9,TRANSFER,2539898,C394488466,2539898,0,C575638324,0,261291,1,0
10,CASH_OUT,9217,C1105700111,9217,0,C1767952032,0,9217,1,0
10,CASH_OUT,59835,C1020461364,59835,0,C2144015041,255481,315316,1,0
10,CASH_OUT,93811,C1190429229,93811,0,C2104652067,4096048,4189859,1,0
10,CASH_OUT,277971,C489647033,0,0,C571514738,0,277971,1,0
10,CASH_OUT,503406,C140359285,503406,0,C2020337583,29669,533075,1,0
10,CASH_OUT,2662735,C813115168,2662735,0,C401825929,14166,2930405,1,0
10,TRANSFER,9217,C184586799,9217,0,C812377986,0,96796,1,0
10,TRANSFER,59835,C1568400442,59835,0,C1262169546,0,0,1,0
10,TRANSFER,93811,C481501970,93811,0,C1262577882,0,0,1,0
10,TRANSFER,503406,C1446009472,503406,0,C2010733400,0,0,1,0
10,TRANSFER,2662735,C1182702586,2662735,0,C2143409210,0,0,1,0
11,CASH_OUT,2100,C169099320,2100,0,C697156329,112512,114612,1,0
11,CASH_OUT,12461,C938980312,12461,0,C621014131,27964,40425,1,0
11,CASH_OUT,313418,C2021456831,313418,0,C157591472,688165,1029922,1,0
11,TRANSFER,2100,C785601242,2100,0,C1576053316,0,0,1,0
11,TRANSFER,12461,C2079232448,12461,0,C585834595,0,0,1,0
11,TRANSFER,313418,C711446907,313418,0,C888769567,0,97981,1,0
11,TRANSFER,1933921,C1706582969,0,0,C461905695,1283763,3217684,1,0
12,CASH_OUT,2007,C1331829443,2007,0,C127509847,129918,250911,1,0
12,CASH_OUT,8677,C343345083,8677,0,C200064275,225128,233805,1,0
12,CASH_OUT,19472,C1205151454,19472,0,C664770316,0,19472,1,0
12,CASH_OUT,149669,C227115333,0,0,C460735540,44170,193839,1,0
12,CASH_OUT,222049,C265790428,0,0,C1700442291,2979,225028,1,0
12,CASH_OUT,1041647,C169939918,1041647,0,C1673501963,52730,1094377,1,0
12,CASH_OUT,2066468,C684252268,2066468,0,C2027569559,194510,3098567,1,0
12,CASH_OUT,3964130,C1098250442,3964130,0,C1140712423,1912956,5811064,1,0
12,TRANSFER,2007,C439464764,2007,0,C562360384,0,0,1,0
12,TRANSFER,8677,C288028999,8677,0,C184294001,0,0,1,0
12,TRANSFER,19472,C1101705841,19472,0,C925285469,0,0,1,0
12,TRANSFER,1041647,C345293642,1041647,0,C937194908,0,0,1,0
12,TRANSFER,2066468,C1223631235,2066468,0,C1281019843,0,81210,1,0
12,TRANSFER,3964130,C576568419,3964130,0,C1571546632,0,0,1,0
13,CASH_OUT,408,C1894004688,408,0,C1293978242,898298,1075854,1,0
13,CASH_OUT,48375,C1894578299,48375,0,C590035788,374803,658520,1,0
13,CASH_OUT,454859,C1274887619,0,0,C2146670328,0,454859,1,0
13,CASH_OUT,1161496,C165094398,1161496,0,C1966002811,319036,1565124,1,0
13,CASH_OUT,2686564,C901331326,2686564,0,C1662761228,438199,3124763,1,0
13,CASH_OUT,4022668,C79951219,4022668,0,C1499489682,80137,4057191,1,0
13,CASH_OUT,6188515,C686187434,6188515,0,C1562904239,381607,6424682,1,0
13,TRANSFER,408,C2021466585,408,0,C1864486913,0,226013,1,0
13,TRANSFER,48375,C920803432,48375,0,C1767389067,0,0,1,0
13,TRANSFER,123195,C2143112877,79466,0,C1755380031,535933,263909,1,0
13,TRANSFER,1161496,C1864459372,1161496,0,C537531657,0,0,1,0
13,TRANSFER,2686564,C364029634,2686564,0,C2041291172,0,0,1,0
13,TRANSFER,4022668,C735463888,4022668,0,C1548348754,0,0,1,0
13,TRANSFER,6188515,C135832352,6188515,0,C2009346140,0,0,1,0
14,CASH_OUT,65488,C1137669976,65488,0,C1526507740,0,65488,1,0
14,CASH_OUT,143032,C465166521,143032,0,C487776685,814655,1020324,1,0
14,CASH_OUT,1561892,C15204463,1561892,0,C1255502452,3471929,6443178,1,0
14,CASH_OUT,1832319,C803703656,1832319,0,C858007309,43962,2440140,1,0
14,CASH_OUT,2093951,C1440901488,2093951,0,C166839225,0,2093951,1,0
14,CASH_OUT,2927005,C2010427735,2927005,0,C1887744176,0,2994420,1,0
14,TRANSFER,65488,C236875489,65488,0,C528705657,0,0,1,0
14,TRANSFER,143032,C1960144830,143032,0,C801162238,0,0,1,0
14,TRANSFER,1561892,C736093511,1561892,0,C1224081716,0,0,1,0
14,TRANSFER,1832319,C439830884,1832319,0,C1133002328,0,0,1,0
14,TRANSFER,2093951,C1374377088,2093951,0,C207611232,0,0,1,0
14,TRANSFER,2927005,C2081788795,2927005,0,C2138456206,0,0,1,0
15,CASH_OUT,119,C1584512618,119,0,C2102058838,4844060,4844179,1,0
15,CASH_OUT,170,C1065370362,170,0,C200064275,413421,345764,1,0
15,CASH_OUT,39713,C1404885898,0,0,C1795377601,1274867,1314580,1,0
15,CASH_OUT,59386,C1765315298,59386,0,C721356209,74371,133757,1,0
15,CASH_OUT,95428,C947728507,0,0,C1720721903,0,95428,1,0
15,CASH_OUT,128474,C905234452,128474,0,C786510892,0,128474,1,0
15,CASH_OUT,164501,C1689700172,164501,0,C149696600,685636,850137,1,0
15,CASH_OUT,212090,C1970843703,212090,0,C597280894,257758,469848,1,0
15,CASH_OUT,248056,C1055229266,248056,0,C1689170857,0,201427,1,0
15,CASH_OUT,696763,C725915377,696763,0,C1656726101,366115,1347074,1,0
15,CASH_OUT,747282,C842684426,747282,0,C2025644484,5340918,6088200,1,0
15,TRANSFER,119,C1995557473,119,0,C1480876722,0,0,1,0
15,TRANSFER,170,C553034695,170,0,C26381896,0,0,1,0
15,TRANSFER,59386,C1275373422,59386,0,C1704707395,0,0,1,0
15,TRANSFER,128474,C1012580160,128474,0,C540657255,0,0,1,0
15,TRANSFER,164501,C1761347420,164501,0,C383804904,0,0,1,0
15,TRANSFER,212090,C378910639,212090,0,C1881567873,0,0,1,0
15,TRANSFER,248056,C1474711983,248056,0,C1009564356,0,0,1,0
15,TRANSFER,696763,C968403759,696763,0,C1524019269,0,69861,1,0
15,TRANSFER,747282,C1695793096,747282,0,C849010584,0,0,1,0
16,CASH_OUT,31074,C2073757635,31074,0,C1899325653,0,31074,1,0
16,CASH_OUT,121627,C828364266,121627,0,C101179743,653744,775371,1,0
16,CASH_OUT,828721,C1002446735,828721,0,C185805228,9142623,10184337,1,0
16,CASH_OUT,2198225,C705981026,2198225,0,C697783649,0,2198225,1,0
16,CASH_OUT,2701905,C2140905252,2701905,0,C970796050,57418,2759323,1,0
16,TRANSFER,31074,C457962127,31074,0,C614104997,0,0,1,0
16,TRANSFER,121627,C185016231,121627,0,C1409959,0,0,1,0
16,TRANSFER,828721,C1422357582,828721,0,C366986030,0,0,1,0
16,TRANSFER,2198225,C752563135,2198225,0,C247007952,0,0,1,0
16,TRANSFER,2701905,C494334546,2701905,0,C428725863,0,0,1,0
17,CASH_OUT,42063,C897869440,340830,0,C616721459,398931,678420,1,0
17,CASH_OUT,195352,C268542581,195352,0,C504693752,156408,265841,1,0
17,CASH_OUT,305627,C1600031018,305627,0,C1971951800,7699847,8005474,1,0
17,CASH_OUT,1639676,C967691562,1639676,0,C2093967426,448955,2198318,1,0
17,TRANSFER,195352,C1420261366,195352,0,C639808302,0,0,1,0
17,TRANSFER,305627,C1711670940,305627,0,C385061535,0,0,1,0
17,TRANSFER,1639676,C15998296,1639676,0,C1652158314,0,0,1,0
18,CASH_OUT,9131,C895161073,9131,0,C1762082057,133084,142215,1,0
18,CASH_OUT,11481,C779194867,11481,0,C1475456951,761418,1765081,1,0
18,CASH_OUT,295664,C1446413189,295664,0,C185805228,10184337,10480001,1,0
18,CASH_OUT,307739,C281912643,307739,0,C1264205758,25326,838246,1,0
18,CASH_OUT,314252,C1462280812,75956,0,C90486891,7962205,8276457,1,0
18,CASH_OUT,508782,C576782065,0,0,C2090737806,1082008,1590790,1,0
18,CASH_OUT,1102134,C1213142549,1102134,0,C1880832297,306229,1408362,1,0
18,CASH_OUT,1144089,C1542410200,1144089,0,C183389809,2502877,3879210,1,0
18,CASH_OUT,1974352,C365968372,1974352,0,C579837876,15532,1989884,1,0
18,TRANSFER,9131,C1592623877,9131,0,C87183368,0,0,1,0
18,TRANSFER,11481,C370107492,11481,0,C1680789799,0,263492,1,0
18,TRANSFER,295664,C1726326177,295664,0,C1540448785,0,0,1,0
18,TRANSFER,307739,C1066119351,307739,0,C702410034,0,0,1,0
18,TRANSFER,1102134,C590103740,1102134,0,C1610372134,0,746576,1,0
18,TRANSFER,1144089,C1218322192,1144089,0,C1107369132,0,0,1,0
18,TRANSFER,1974352,C745648946,1974352,0,C1091334879,0,0,1,0
19,CASH_OUT,122102,C149845822,0,0,C1200316948,0,639940,1,0
19,CASH_OUT,143660,C681501417,143660,0,C447183071,0,143660,1,0
19,CASH_OUT,161939,C1993475473,161939,0,C1832323051,628935,851972,1,0
19,CASH_OUT,1861008,C1718961034,1861008,0,C714051433,0,1789943,1,0
19,CASH_OUT,3477438,C841995363,3477438,0,C1314676285,0,3477438,1,0
19,CASH_OUT,10000000,C2050703310,10000000,0,C1622860679,504327,10342418,1,0
19,TRANSFER,143660,C1156611770,143660,0,C742977582,0,0,1,0
19,TRANSFER,161939,C263177591,161939,0,C94435408,0,0,1,0
19,TRANSFER,1861008,C1990303942,1861008,0,C1308678191,0,0,1,0
19,TRANSFER,3477438,C767243506,3477438,0,C1532877354,0,0,1,0
19,TRANSFER,10000000,C416779475,11861008,0,C380259496,0,0,1,0
20,CASH_OUT,16615,C530844914,16615,0,C1614121155,904409,921024,1,0
20,CASH_OUT,448025,C348303891,448025,0,C1432596631,71680,519705,1,0
20,TRANSFER,16615,C2080146129,16615,0,C748889213,0,0,1,0
20,TRANSFER,448025,C1976637754,448025,0,C4020115,0,0,1,0
21,CASH_OUT,23292,C1861214292,0,0,C1834461593,392365,415657,1,0
21,CASH_OUT,158299,C179332971,158299,0,C631110333,36153,271370,1,0
21,CASH_OUT,785323,C1794798581,785323,0,C801984124,803839,1720784,1,0
21,TRANSFER,158299,C278180302,158299,0,C1551346623,0,0,1,0
21,TRANSFER,785323,C1204079316,785323,0,C637091706,0,0,1,0
22,CASH_OUT,37100,C142707413,37100,0,C63948986,433212,470313,1,0
22,CASH_OUT,74804,C1683055902,74804,0,C313857348,0,74804,1,0
22,CASH_OUT,77773,C598573300,77773,0,C2060664104,1853404,1931177,1,0
22,CASH_OUT,89571,C1022920965,4506,0,C1460548505,1929428,2018999,1,0
22,CASH_OUT,235512,C1956707614,235512,0,C1481851679,8490637,9272647,1,0
22,CASH_OUT,239647,C663158205,239647,0,C1104558647,2208970,2448617,1,0
22,CASH_OUT,346705,C54851371,346705,0,C943084296,513995,860699,1,0
22,CASH_OUT,379878,C1495269307,379878,0,C475345362,1301414,1681292,1,0
22,CASH_OUT,461510,C2141057802,461510,0,C802885021,302584,764094,1,0
22,CASH_OUT,489767,C480109552,489767,0,C720599914,0,489767,1,0
22,CASH_OUT,1258957,C673988903,1258957,0,C833477645,4736011,5994967,1,0
22,CASH_OUT,2068118,C1672125863,2068118,0,C559485820,3054285,5122404,1,0
22,TRANSFER,37100,C362085592,37100,0,C1652057111,0,0,1,0
22,TRANSFER,74804,C1239771149,74804,0,C1699565892,0,0,1,0
22,TRANSFER,77773,C834571675,77773,0,C312865842,0,0,1,0
22,TRANSFER,235512,C480136801,235512,0,C160106315,0,0,1,0
22,TRANSFER,239647,C1977304181,239647,0,C1053513851,0,0,1,0
22,TRANSFER,346705,C1332180070,346705,0,C2027621451,0,0,1,0
22,TRANSFER,379878,C336424141,379878,0,C404961694,0,0,1,0
22,TRANSFER,461510,C1765744035,461510,0,C788887602,0,0,1,0
22,TRANSFER,489767,C869780206,489767,0,C926230389,0,0,1,0
22,TRANSFER,1258957,C1209224134,1258957,0,C314012937,0,0,1,0
22,TRANSFER,2068118,C1472367087,2068118,0,C52390890,0,0,1,0
23,CASH_OUT,146127,C785373587,146127,0,C1824914593,177874,324001,1,0
23,TRANSFER,146127,C1866778945,146127,0,C225469649,0,0,1,0
24,CASH_OUT,6845,C2006451816,6845,0,C1380348902,264101,270945,1,0
24,CASH_OUT,291306,C1962370851,291306,0,C1560190757,954555,1247964,1,0
24,CASH_OUT,986876,C1896884992,986876,0,C309078889,57854,1044730,1,0
24,TRANSFER,6845,C997222163,6845,0,C761549792,0,0,1,0
24,TRANSFER,291306,C71665357,291306,0,C1607901570,0,0,1,0
24,TRANSFER,986876,C1702714599,986876,0,C83459379,0,0,1,0
25,CASH_OUT,8383,C644686763,8383,0,C980380973,6577263,6585646,1,0
25,CASH_OUT,18127,C57087263,18127,0,C1574807586,0,18127,1,0
25,CASH_OUT,44830,C1812532920,44830,0,C1135869087,301552,346382,1,0
25,CASH_OUT,217231,C1847744332,217231,0,C1181708889,7236671,7453902,1,0
25,CASH_OUT,249159,C1962232117,249159,0,C750661006,285997,535157,1,0
25,CASH_OUT,296334,C1938399138,296334,0,C257884050,3355665,3651998,1,0
25,CASH_OUT,781953,C1665079678,781953,0,C1566512642,0,781953,1,0
25,CASH_OUT,802382,C1343455954,802382,0,C1045004287,0,802382,1,0
25,CASH_OUT,1698264,C902520408,1698264,0,C1047966944,0,1698264,1,0
25,TRANSFER,8383,C282822245,8383,0,C1731493383,0,0,1,0
25,TRANSFER,18127,C556483673,18127,0,C946378506,0,0,1,0
25,TRANSFER,44830,C589374615,44830,0,C1612426642,0,0,1,0
25,TRANSFER,217231,C1527375688,217231,0,C658289217,0,0,1,0
25,TRANSFER,249159,C862942009,249159,0,C1488413166,0,0,1,0
25,TRANSFER,296334,C1473328942,296334,0,C1650053869,0,0,1,0
25,TRANSFER,781953,C763225876,781953,0,C1927695058,0,0,1,0
25,TRANSFER,802382,C127098115,802382,0,C1570699013,0,0,1,0
25,TRANSFER,1698264,C1865185181,1698264,0,C388097316,0,0,1,0
26,CASH_OUT,37066,C281192595,37066,0,C514736179,1396328,1433393,1,0
26,CASH_OUT,78742,C1993214834,78742,0,C1402138462,48629,127370,1,0
26,CASH_OUT,331830,C1357985676,331830,0,C255246845,792856,1124686,1,0
26,CASH_OUT,369187,C1121219802,369187,0,C418751321,36224,405411,1,0
26,CASH_OUT,1027152,C1016323653,1027152,0,C409414944,519429,1546581,1,0
26,CASH_OUT,1646181,C441238852,1646181,0,C2059240998,220025,1866206,1,0
26,TRANSFER,37066,C1952239554,37066,0,C399460584,0,0,1,0
26,TRANSFER,78742,C1482114822,78742,0,C2123466960,0,0,1,0
26,TRANSFER,331830,C1549516546,331830,0,C1908627867,0,0,1,0
26,TRANSFER,369187,C1879175902,369187,0,C900709443,0,0,1,0
26,TRANSFER,1027152,C414159853,1027152,0,C1087566727,0,0,1,0
26,TRANSFER,1646181,C700083141,1646181,0,C1359428492,0,0,1,0
27,CASH_OUT,329938,C148278282,329938,0,C1783581377,349407,679345,1,0
27,CASH_OUT,494245,C1544211314,494245,0,C1751768780,653451,1147696,1,0
27,CASH_OUT,496128,C705152518,496128,0,C741210093,465770,961898,1,0
27,CASH_OUT,1218166,C807604201,1218166,0,C849028719,742564,1960730,1,0
27,TRANSFER,329938,C699198167,329938,0,C2064246111,0,0,1,0
27,TRANSFER,494245,C1529468267,494245,0,C1924171481,0,0,1,0
27,TRANSFER,496128,C842027258,496128,0,C136618845,0,0,1,0
27,TRANSFER,1218166,C361429301,1218166,0,C550179566,0,0,1,0
28,CASH_OUT,491518,C1198658385,491518,0,C523126423,518777,1010295,1,0
28,CASH_OUT,3832058,C426880249,3832058,0,C1566081912,531662,4363720,1,0
28,TRANSFER,491518,C1029198062,491518,0,C1534111155,0,0,1,0
28,TRANSFER,3832058,C1279307827,3832058,0,C1124913173,0,0,1,0
29,CASH_OUT,268642,C2038670336,268642,0,C1068543577,197164,465806,1,0
29,CASH_OUT,340198,C1369188336,340198,0,C1627551181,1614044,1954242,1,0
29,TRANSFER,268642,C775733773,268642,0,C2121303056,0,0,1,0
29,TRANSFER,340198,C491994230,340198,0,C772681684,0,0,1,0
30,CASH_OUT,19016,C1257554854,19016,0,C1044117371,9348000,9367016,1,0
30,CASH_OUT,109402,C984153855,109402,0,C1806203979,245589,354991,1,0
30,CASH_OUT,122235,C356571967,122235,0,C1905066109,0,122235,1,0
30,CASH_OUT,236947,C474899128,236947,0,C116505755,70084,307032,1,0
30,TRANSFER,19016,C182136548,19016,0,C717672329,0,0,1,0
30,TRANSFER,109402,C2037269206,109402,0,C337579043,0,0,1,0
30,TRANSFER,122235,C1279213624,122235,0,C2100791242,0,0,1,0
30,TRANSFER,236947,C1273047168,236947,0,C1636242484,0,0,1,0
31,CASH_OUT,21516,C939116023,21516,0,C1335084969,900123,921639,1,0
31,CASH_OUT,120406,C1938001564,120406,0,C878440089,0,120406,1,0
31,CASH_OUT,335219,C89283631,335219,0,C1228650470,111676,446895,1,0
31,CASH_OUT,378204,C1309442409,378204,0,C1009459055,0,378204,1,0
31,CASH_OUT,587031,C1534882693,587031,0,C534658891,338248,925279,1,0
31,CASH_OUT,5021187,C1520365660,5021187,0,C1308026520,880859,5902046,1,0
31,TRANSFER,21516,C551376615,21516,0,C2121782042,0,0,1,0
31,TRANSFER,120406,C237098657,120406,0,C1177827371,0,0,1,0
31,TRANSFER,335219,C1775717184,335219,0,C1987320319,0,0,1,0
31,TRANSFER,378204,C620879020,378204,0,C929929591,0,0,1,0
31,TRANSFER,587031,C1909564191,587031,0,C2047987632,0,0,1,0
31,TRANSFER,5021187,C1848562108,5021187,0,C1803198527,0,0,1,0
32,CASH_OUT,81867,C1861680707,81867,0,C2064372710,135118,216985,1,0
32,CASH_OUT,401575,C1684571589,401575,0,C1619036760,0,401575,1,0
32,CASH_OUT,404165,C254731202,404165,0,C1749677978,0,404165,1,0
32,CASH_OUT,604934,C1085892947,604934,0,C1138178950,35840,640773,1,0
32,CASH_OUT,1164449,C1925676917,1164449,0,C2040690699,1080246,2244695,1,0
32,CASH_OUT,2023920,C706467919,2023920,0,C338077337,1530401,3554321,1,0
32,TRANSFER,81867,C1128786535,81867,0,C9901046,0,0,1,0
32,TRANSFER,401575,C2084058641,401575,0,C1017580631,0,0,1,0
32,TRANSFER,404165,C1458768825,404165,0,C206316722,0,0,1,0
32,TRANSFER,604934,C1769820937,604934,0,C1536446312,0,0,1,0
32,TRANSFER,1164449,C107615831,1164449,0,C144473930,0,0,1,0
32,TRANSFER,2023920,C306405849,2023920,0,C193080093,0,0,1,0
33,CASH_OUT,214976,C6796051,214976,0,C677541710,152331,374514,1,0
33,CASH_OUT,1448630,C942063884,1448630,0,C1317594509,1294571,2743202,1,0
33,CASH_OUT,3295228,C1587398978,3295228,0,C1560573396,0,4002862,1,0
33,CASH_OUT,6648390,C1612816859,6648390,0,C836514715,2609210,9257599,1,0
33,CASH_OUT,9887819,C1071702423,9887819,0,C28783325,801914,10165200,1,0
33,CASH_OUT,10000000,C29118015,10000000,0,C1379703840,0,10000000,1,0
33,TRANSFER,214976,C304547800,214976,0,C155793474,0,0,1,0
33,TRANSFER,1448630,C101899927,1448630,0,C679483948,0,0,1,0
33,TRANSFER,3295228,C1152596026,3295228,0,C1976114093,0,0,1,0
33,TRANSFER,6648390,C67311634,6648390,0,C674603923,0,0,1,0
33,TRANSFER,9887819,C1548903046,9887819,0,C2065423383,0,0,1,0
33,TRANSFER,10000000,C1439740840,19887819,0,C875288652,0,0,1,0
34,CASH_OUT,27951,C476695686,27951,0,C90854025,10439,698753,1,0
34,CASH_OUT,30917,C1257352420,30917,0,C984948607,339926,370844,1,0
